,BS,TE,SE,PTE,PSE
361,57.77777777777777,24.390243902439025,22.222222222222225,30.303030303030297,24.390243902439025
362,34.782608695652165,8.0,8.333333333333332,30.76923076923077,0.0
363,19.512195121951216,21.428571428571427,24.000000000000004,36.36363636363636,21.62162162162162
364,28.57142857142857,30.769230769230766,28.57142857142857,28.57142857142857,28.57142857142857
365,5.263157894736841,20.000000000000004,7.142857142857142,33.33333333333333,21.621621621621625
366,7.4074074074074066,7.142857142857142,0.0,24.242424242424246,8.333333333333332
367,0.0,0.0,0.0,30.769230769230766,0.0
368,46.15384615384615,11.11111111111111,15.384615384615385,11.11111111111111,20.0
369,0.0,42.857142857142854,0.0,42.857142857142854,0.0
370,14.457831325301203,0.0,10.95890410958904,19.17808219178082,22.72727272727273
371,4.166666666666666,7.4074074074074066,4.25531914893617,5.2631578947368425,5.2631578947368425
372,38.46153846153846,9.302325581395348,8.695652173913045,36.00000000000001,32.786885245901644
373,31.57894736842105,50.0,50.0,50.0,50.0
374,33.33333333333333,0.0,6.666666666666668,35.0,33.68421052631579
375,41.66666666666667,0.0,0.0,41.66666666666667,41.66666666666667
376,45.6140350877193,20.8955223880597,15.384615384615385,41.379310344827594,45.90163934426229
377,25.00000000000001,12.500000000000005,11.11111111111111,23.529411764705884,25.00000000000001
378,15.384615384615385,0.0,0.0,17.39130434782609,15.384615384615385
379,38.0952380952381,58.82352941176471,47.61904761904762,38.0952380952381,38.0952380952381
380,36.00000000000001,17.857142857142858,14.545454545454545,21.21212121212121,29.629629629629633
381,25.0,44.44444444444444,44.44444444444444,25.0,25.0
382,12.5,6.25,12.5,6.25,6.25
383,26.666666666666668,6.896551724137931,20.0,24.24242424242425,26.666666666666668
384,44.44444444444445,66.66666666666666,66.66666666666666,35.714285714285715,35.714285714285715
385,47.05882352941176,28.57142857142857,28.57142857142857,47.05882352941176,47.05882352941176
386,45.71428571428571,10.810810810810812,14.285714285714285,43.75,43.75
387,37.83783783783784,15.384615384615385,22.222222222222214,36.36363636363636,35.555555555555564
388,12.500000000000005,12.244897959183673,19.607843137254903,20.83333333333333,20.83333333333333
389,40.54054054054055,18.75,26.923076923076927,16.129032258064516,30.303030303030305
390,22.641509433962266,19.04761904761905,14.084507042253522,30.508474576271187,30.508474576271187
391,11.76470588235294,27.027027027027025,26.31578947368421,7.4074074074074066,11.76470588235294
392,33.333333333333336,33.333333333333336,11.11111111111111,33.333333333333336,33.333333333333336
393,25.0,66.66666666666666,25.0,66.66666666666666,25.0
394,33.9622641509434,21.621621621621625,31.57894736842105,32.6530612244898,33.89830508474576
395,29.411764705882355,22.22222222222222,0.0,0.0,29.411764705882355
396,6.060606060606061,0.0,8.695652173913041,9.523809523809524,5.128205128205128
397,30.769230769230766,21.538461538461533,22.58064516129032,29.03225806451613,11.320754716981135
398,15.384615384615389,5.555555555555555,0.0,51.162790697674424,29.268292682926834
399,0.0,0.0,0.0,0.0,0.0
400,8.0,3.0769230769230766,25.80645161290323,11.76470588235294,5.7142857142857135
401,43.47826086956522,43.47826086956522,43.47826086956522,43.47826086956522,43.47826086956522
402,8.333333333333332,8.333333333333332,0.0,7.692307692307692,11.11111111111111
403,20.000000000000004,22.222222222222225,0.0,20.000000000000004,0.0
404,33.33333333333333,11.76470588235294,20.833333333333332,33.33333333333333,33.33333333333333
405,31.818181818181817,4.4444444444444455,29.78723404255319,13.636363636363635,13.636363636363635
406,38.88888888888889,5.555555555555555,22.85714285714285,27.90697674418604,27.90697674418604
407,35.71428571428571,24.0,48.0,41.379310344827594,18.604651162790695
408,28.57142857142857,25.0,20.0,25.0,25.0
409,20.689655172413797,10.526315789473683,0.0,14.285714285714285,0.0
410,81.81818181818183,20.0,44.44444444444444,81.81818181818183,81.81818181818183
411,0.0,6.896551724137931,0.0,0.0,0.0
412,50.0,50.0,50.0,50.0,50.0
413,19.607843137254903,0.0,15.384615384615385,19.607843137254903,19.607843137254903
414,27.27272727272727,13.333333333333334,13.333333333333334,37.5,24.999999999999993
415,21.91780821917808,20.58823529411765,18.666666666666664,37.62376237623762,25.0
416,27.027027027027028,11.76470588235294,27.027027027027028,27.027027027027028,4.878048780487805
417,34.48275862068966,22.22222222222222,34.48275862068966,34.48275862068966,26.08695652173913
418,54.545454545454554,19.04761904761905,26.08695652173913,16.666666666666668,37.5
419,0.0,0.0,0.0,0.0,0.0
420,15.686274509803921,26.31578947368421,28.57142857142857,19.23076923076923,26.08695652173913
421,13.333333333333334,5.128205128205128,8.888888888888888,13.636363636363638,13.333333333333334
422,17.647058823529413,11.428571428571427,17.647058823529413,15.0,18.18181818181818
423,16.666666666666664,17.647058823529413,25.0,13.95348837209302,23.80952380952381
424,0.0,7.142857142857142,0.0,30.0,30.0
425,28.57142857142857,14.634146341463413,40.9090909090909,45.454545454545446,28.57142857142857
426,22.535211267605636,4.878048780487805,5.555555555555555,18.18181818181818,11.320754716981133
427,26.08695652173913,20.0,66.66666666666666,83.33333333333334,46.15384615384615
428,8.333333333333332,7.142857142857142,6.060606060606061,18.51851851851852,4.166666666666666
429,12.698412698412698,10.95890410958904,12.903225806451612,20.895522388059707,20.895522388059707
430,10.0,10.256410256410255,9.756097560975608,7.59493670886076,10.0
431,15.384615384615385,24.489795918367346,0.0,4.166666666666666,14.814814814814813
432,0.0,0.0,0.0,0.0,0.0
433,25.0,25.0,25.0,25.0,25.0
434,43.47826086956522,23.52941176470588,15.384615384615385,43.47826086956522,43.47826086956522
435,0.0,0.0,0.0,0.0,0.0
436,12.5,7.142857142857144,7.142857142857144,12.903225806451616,10.256410256410255
437,16.666666666666664,16.666666666666664,8.695652173913045,16.666666666666664,7.999999999999999
438,25.0,0.0,0.0,25.0,31.11111111111111
439,15.094339622641511,0.0,0.0,15.384615384615385,20.40816326530612
440,28.57142857142857,27.586206896551722,28.57142857142857,29.629629629629633,29.629629629629633
441,50.0,10.0,47.61904761904762,50.0,50.0
442,7.6923076923076925,0.0,0.0,7.142857142857142,7.142857142857142
443,9.090909090909092,0.0,0.0,9.090909090909092,9.090909090909092
444,16.666666666666664,23.52941176470588,8.695652173913041,8.0,45.454545454545446
445,29.09090909090909,12.500000000000005,4.761904761904761,29.09090909090909,29.09090909090909
446,14.925373134328353,21.428571428571434,13.559322033898303,18.42105263157895,15.625
